"format_id","format_name"
"5","Audio"
"15","Board"
"9","Book"
"3","CD"
"10","Calendar"
"8","Cards"
"26","Copymasters"
"34","Counterpack"
"19","DVD"
"21","Diary"
"23","Digital"
"7","Downloadable"
"36","Dumpbin"
"20","Fold"
"18","Game"
"13","Globe"
"2","Hardback"
"24","Leather"
"17","Loose"
"11","Mixed"
"27","Multiple"
"22","Notebook"
"25","Novelty"
"12","Online"
"31","Other"
"16","Pamphlet"
"1","Paperback"
"30","Plate"
"32","Postcard"
"38","Poster"
"35","Pre"
"4","Sheet"
"6","Spiral"
"33","Toy"
"28","Trade"
"14","Undefined"
"29","VHS"
"37","Wallchart"
